Source Information: 

Fies2015v2.dcf
FIES2015V2.puf

(ID Items)
 
w_regn            Region         
w_id              Other ID         
w_shsn            Sample Household Serial Number         
w_hcn             Household Control Number         

(NonFood Expenditure)

talcohol          Alcoholic Beverages Expenditure         
calcohol          Alcoholic Beverages In Cash         
kalcohol          Alcoholic Beverages In Kind         
galcohol          Alcoholic Beverages Received as Gifts         
tliquor           Alcoholic Beverages (liquor) Expenditure         
cliquor           Alcoholic Beverages (liquor) In Cash         
kliquor           Alcoholic Beverages (liquor) In Kind         
gliquor           Alcoholic Beverages (liquor) Received as Gifts         
twhisky           Alcoholic Beverages (liquor - whisky) Expenditure         
cwhisky           Alcoholic Beverages (liquor - whisky) In Cash         
kwhisky           Alcoholic Beverages (liquor - whisky) In Kind         
gwhisky           Alcoholic Beverages (liquor - whisky) Received as Gifts         
trum              Alcoholic Beverages (liquor - rum) Expenditure         
crum              Alcoholic Beverages (liquor - rum) In Cash         
krum              Alcoholic Beverages (liquor - rum) In Kind         
grum              Alcoholic Beverages (liquor - rum) Received as Gifts         
tgin              Alcoholic Beverages (liquor - gin) Expenditure         
cgin              Alcoholic Beverages (liquor - gin) In Cash         
kgin              Alcoholic Beverages (liquor - gin) In Kind         
ggin              Alcoholic Beverages (liquor - gin) Received as Gifts         
tbrandy           Alcoholic Beverages (liquor - brandy) Expenditure         
cbrandy           Alcoholic Beverages (liquor - brandy) In Cash         
kbrandy           Alcoholic Beverages (liquor - brandy) In Kind         
gbrandy           Alcoholic Beverages (liquor - brandy) Received as Gifts         
tvodka            Alcoholic Beverages (liquor - vodka) Expenditure         
cvodka            Alcoholic Beverages (liquor - vodka) In Cash         
kvodka            Alcoholic Beverages (liquor - vodka) In Kind         
gvodka            Alcoholic Beverages (liquor - vodka) Received as Gifts         
tliquorother      Alcoholic Beverages (liquor - other) Expenditure         
cliquorother      Alcoholic Beverages (liquor - other) In Cash         
kliquorother      Alcoholic Beverages (liquor - other) In Kind         
gliquorother      Alcoholic Beverages (liquor - other) Received as Gifts         
twine             Alcoholic Beverages (wine) Expenditure         
cwine             Alcoholic Beverages (wine) In Cash         
kwine             Alcoholic Beverages (wine) In Kind         
gwine             Alcoholic Beverages (wine) Received as Gifts         
ttuba             Alcoholic Beverages (wine - tuba) Expenditure         
ctuba             Alcoholic Beverages (wine - tuba) In Cash         
ktuba             Alcoholic Beverages (wine - tuba) In Kind         
gtuba             Alcoholic Beverages (wine - tuba) Received as Gifts         
tbasi             Alcoholic Beverages (wine - basi) Expenditure         
cbasi             Alcoholic Beverages (wine - basi) In Cash         
kbasi             Alcoholic Beverages (wine - basi) In Kind         
gbasi             Alcoholic Beverages (wine - basi) Received as Gifts         
twineother        Alcoholic Beverages (wine - other) Expenditure         
cwineother        Alcoholic Beverages (wine - other) In Cash         
kwineother        Alcoholic Beverages (wine - other) In Kind         
gwineother        Alcoholic Beverages (wine - other) Received as Gifts         
tbeer             Alcoholic Beverages (beer) Expenditure         
cbeer             Alcoholic Beverages (beer) In Cash         
kbeer             Alcoholic Beverages (beer) In Kind         
gbeer             Alcoholic Beverages (beer) Received as Gifts         
ttobacco          Tobacco Expenditure         
ctobacco          Tobacco In Cash         
ktobacco          Tobacco In Kind         
gtobacco          Tobacco Received as Gifts         
tcigarrette       Tobacco (cigarette) Expenditure         
ccigarrette       Tobacco (cigarette) In Cash         
kcigarrette       Tobacco (cigarette) In Kind         
gcigarrette       Tobacco (cigarette) Received as Gifts         
cigar             Tobacco (cigar) Expenditure         
ccgar             Tobacco (cigar) In Cash         
kcgar             Tobacco (cigar) In Kind         
gcgar             Tobacco (cigar) Received as Gifts         
tchewtob          Tobacco (chewing tobacco) Expenditure         
cchewtob          Tobacco (chewing tobacco) In Cash         
kchewtob          Tobacco (chewing tobacco) In Kind         
gchewtob          Tobacco (chewing tobacco) Received as Gifts         
totob             Tobacco (others) Expenditure         
cotob             Tobacco (others) In Cash         
kotob             Tobacco (others) In Kind         
gotob             Tobacco (others) Received as Gifts         
totherveg         Other Vegetables Expenditure         
cotherveg         Other Vegetables In Cash         
kotherveg         Other Vegetables In Kind         
gotherveg         Other Vegetables Received as Gifts         
tbetel            Other Vegetables (betel) Expenditure         
cbetel            Other Vegetables (betel) In Cash         
kbetel            Other Vegetables (betel) In Kind         
gbetel            Other Vegetables (betel) Received as Gifts         
